word,score
hider,16660
sidhe,16660
hiant,16660
haily,16660
celts,16656
foyer,16656
salop,16656
break,16656
stand,16656
ligne,16656
rauns,16652
motes,16652
toges,16652
brens,16652
mange,16652
staun,16652
dazer,16652
meris,16648
raids,16644
lodes,16644
leaks,16644
besot,16644
manor,16644
serum,16644
besit,16644
parts,16644
bonce,16644
snath,16644
usnea,16640
nairu,16640
elsin,16640
paris,16640
crepy,16640
cadge,16640
roped,16640
pulse,16640
urnal,16636
decal,16636
trawl,16636
abort,16636
hired,16636
pures,16636
telic,16632
cosed,16632
cains,16632
stony,16632
pones,16628
piety,16628
riced,16628
griot,16628
bider,16628
print,16628
deils,16624
trams,16624
wried,16624
goles,16620
tomes,16620
poyse,16620
slype,16620
chary,16620
pioye,16616
mensa,16616
ploye,16616
darts,16616
wires,16616
togue,16616
coirs,16616
whear,16616
ferny,16616
oaves,16612
daris,16612
noble,16612
tuple,16612
credo,16612
dulse,16612
viner,16612
auris,16608
hosen,16608
nabes,16608
kanes,16608
dures,16608
orach,16608
lidar,16604
neaps,16604
fleas,16604
olive,16604
shmoe,16604
butle,16604
cured,16604
forge,16604
maces,16600
almeh,16600
hawse,16600
ulnar,16596
oncet,16596
nugae,16596
glent,16596
tarok,16596
cital,16596
cloke,16596
coned,16596
gomer,16596
foray,16592
loris,16588
beaus,16588
enols,16584
vireo,16584
leafs,16584
latex,16584
brans,16584
roven,16584
leman,16580
moles,16580
theca,16580
fetas,16580
tehrs,16580
toils,16580
clues,16580
urned,16580
wafer,16580
flake,16580
redos,16576
racon,16576
karst,16576
spect,16576
ribes,16572
conge,16572
splat,16572
crapy,16572
aspen,16568
gamey,16568
strag,16564
snark,16564
grist,16564
forme,16564
dinar,16560
frets,16560
phone,16560
platy,16560
heapy,16556
coude,16556
tides,16552
grens,16552
baron,16552
ahint,16552
iotas,16548
floes,16548
ranid,16548
voice,16548
decor,16548
radio,16544
ethal,16544
rotls,16544
hoyle,16544
altos,16544
tauon,16544
decay,16544
rokes,16544
dites,16544
retch,16544
runed,16544
lined,16544
